url,name
http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/devil/devils-unique/devil-titivilus-duke-of-hell-tohc,"Devil,Titivilus (Duke of Hell)"
http://www.d20pfsrd.com/bestiary/monster-listings/magical-beasts/bandersnatch/bandersnatch-frumious,"Bandersnatch,Frumious"
http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/divs/div-akvan,"Div,Akvan"
http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/devil/pit-fiend,"Devil,Pit Fiend"
http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/demon/unique/moxix,"Demon,Stone"
http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/demon/balor,"Demon,Balor"
http://www.d20pfsrd.com/bestiary/monster-listings/humanoids/giants/aberrant,"Aberrant"
http://www.d20pfsrd.com/bestiary/monster-listings/undead/murder-crow,"Murder Crow"
http://www.d20pfsrd.com/gamemastering/traps-hazards-and-special-terrains/hazards/3rd-party-hazards/bookworm-1-8-tohc,"Bookworm (CR 1/8)"
http://www.d20pfsrd.com/bestiary/monster-listings/undead/mummy/mummy-unhallowed,"Mummy,Unhallowed"
http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/nightmare,"Nightmare"
http://www.d20pfsrd.com/bestiary/monster-listings/undead/zombie/zombie-giant-storm,"Zombie,Giant (Storm)"
http://www.d20pfsrd.com/bestiary/monster-listings/fey/woodwose-tohc,"Woodwose"
http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/daemons/olethrodaemon,"Daemon,Olethrodaemon"
http://www.d20pfsrd.com/bestiary/monster-listings/aberrations/otyugh/otyugh-mutant,"Otyugh,Mutant"
http://www.d20pfsrd.com/bestiary/monster-listings/undead/zuvembie,"Zuvembie"
http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/zentragt,"Zentragt"
http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/daemons/temerdaemon,"Daemon,Temerdaemon"
http://www.d20pfsrd.com/bestiary/monster-listings/vermin/jellyfish/jellyfish-sapphire,"Jellyfish,Sapphire"
http://www.d20pfsrd.com/bestiary/monster-listings/monstrous-humanoids/vouivre,"Vouivre"
http://www.d20pfsrd.com/bestiary/monster-listings/monstrous-humanoids/thriae/thriae-queen,"Thriae Queen"
http://www.d20pfsrd.com/bestiary/monster-listings/oozes/vespergaunt,"Vespergaunt"
http://www.d20pfsrd.com/bestiary/monster-listings/animals/cetacean/cetacean-blue-whale,"Cetacean,Blue Whale"
http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/valkyrie,"Valkyrie"
http://www.d20pfsrd.com/bestiary/monster-listings/undead/zombie/zombie-voidstick,"Zombie,Voidstick"
http://www.d20pfsrd.com/bestiary/monster-listings/plants/tobongo,"Tobongo"
http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/time-flayer,"Time Flayer (3pp)"
http://www.d20pfsrd.com/bestiary/monster-listings/magical-beasts/giant-bog-turtle,"Giant Bog Turtle"
http://www.d20pfsrd.com/bestiary/monster-listings/aberrations/thessalgorgon-tohc,"Thessalgorgon"
http://www.d20pfsrd.com/bestiary/monster-listings/magical-beasts/turtle-shark/turtle-shark-stygian,"Turtle-Shark,Stygian"
http://www.d20pfsrd.com/bestiary/monster-listings/constructs/soulbound-shell,"Soulbound Shell"
http://www.d20pfsrd.com/bestiary/monster-listings/fey/baba-yaga-s-riders/the-red-rider,"The Red Rider"
http://www.d20pfsrd.com/bestiary/monster-listings/aberrations/somalcygot,"Somalcygot"
http://www.d20pfsrd.com/bestiary/monster-listings/magical-beasts/sea-spider,"Sea Spider"
http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/shining-child,"Shining Child"
http://www.d20pfsrd.com/bestiary/monster-listings/undead/shenzuzhou,"Shenzuzhou"
http://www.d20pfsrd.com/bestiary/monster-listings/fey/rusalka,"Rusalka"
http://www.d20pfsrd.com/bestiary/monster-listings/undead/sayona,"Sayona"
http://www.d20pfsrd.com/bestiary/monster-listings/magical-beasts/sea-serpent,"Sea Serpent"
http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/scarlet-walker,"Scarlet Walker"
http://www.d20pfsrd.com/bestiary/monster-listings/vermin/slug-giant-sea,"Slug,Giant Sea"
http://www.d20pfsrd.com/bestiary/monster-listings/aberrations/roper,"Roper"
http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/qlippoth/qlippoth-chernobue,"Qlippoth,Chernobue"
http://www.d20pfsrd.com/bestiary/monster-listings/outsiders/rakshasa/rakshasa-avatarana,"Rakshasa,Avatarana"
